unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
{3B7E0B90-173D-EA99-E050-A8C062057E77},280000,2016-08-03 00:00,LE65 2SF,D,N,F,9,"",OUNDLE CLOSE,"",ASHBY-DE-LA-ZOUCH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{453D27A3-E115-EF91-E050-A8C0630574D7},158000,2016-12-16 00:00,LE11 5DW,T,N,F,100,"",LEOPOLD STREET,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{453D27A3-E171-EF91-E050-A8C0630574D7},200000,2016-11-17 00:00,LE67 9UX,O,N,F,122,"",MAIN STREET,"",MARKFIELD,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,B,A
{3E0330EF-FD36-8D89-E050-A8C062052140},149950,2016-08-19 00:00,LE13 0AY,D,N,F,39,"",KESTREL ROAD,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
{3E0330EF-FF43-8D89-E050-A8C062052140},267500,2016-08-26 00:00,LE7 7NP,S,N,F,4,"",PADDOCK CLOSE,ROTHLEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,A
{3E0330EF-FD59-8D89-E050-A8C062052140},126000,2016-08-26 00:00,LE11 4NX,T,N,F,15,"",ABBERTON WAY,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{3E0330EF-FFB6-8D89-E050-A8C062052140},295950,2016-09-23 00:00,LE16 7US,D,N,F,77,"",TYMECROSSE GARDENS,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,A
{3E0330EF-FDB0-8D89-E050-A8C062052140},135000,2016-08-02 00:00,LE11 1PW,T,N,F,40,"",TOOTHILL ROAD,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{3E0330EF-FDED-8D89-E050-A8C062052140},175000,2016-08-23 00:00,LE67 4DE,S,N,F,73,"",BROOM LEYS ROAD,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{42A5A709-65E6-56E8-E050-A8C06205331E},155000,2016-10-20 00:00,LE11 2HT,T,N,F,21,"",HIGHLAND DRIVE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{42A5A709-6611-56E8-E050-A8C06205331E},182000,2016-11-03 00:00,LE11 5EX,T,N,F,2,"",CHARNWOOD FORESTER END,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{42A5A709-6612-56E8-E050-A8C06205331E},172500,2016-10-19 00:00,LE9 7AT,T,N,F,9,"",MONTGOMERY ROAD,EARL SHILTON,LEICESTER,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{42A5A709-6870-56E8-E050-A8C06205331E},120000,2016-10-10 00:00,LE18 4LH,T,N,F,1,"",CROMFORD AVENUE,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{42A5A70A-201F-56E8-E050-A8C06205331E},107000,2016-10-27 00:00,LE11 5DP,T,N,F,67,"",OXFORD STREET,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{2AC10E4F-B4D3-1AF6-E050-A8C063052BA1},78000,2016-01-15 00:00,LE18 4TR,F,N,L,7,"",JASMINE COURT,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{2AC10E4F-B595-1AF6-E050-A8C063052BA1},115000,2016-01-25 00:00,LE11 4WA,T,N,F,8,"",RAVENSTHORPE DRIVE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{2AC10E4F-B6A2-1AF6-E050-A8C063052BA1},65000,2016-01-04 00:00,LE18 4TR,F,N,L,31,"",JASMINE COURT,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{2AC10E4F-B6FB-1AF6-E050-A8C063052BA1},121000,2016-01-05 00:00,LE67 3AU,F,N,F,54,"",ADAM MORRIS WAY,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{39140479-DB6F-3206-E050-A8C063057647},157500,2016-07-01 00:00,LE18 3LJ,S,N,F,22,"",BROUGHTONS FIELD,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{39140479-DDF7-3206-E050-A8C063057647},155000,2016-07-08 00:00,LE18 1DZ,T,N,F,47,"",TWO STEEPLES SQUARE,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{39140479-E00D-3206-E050-A8C063057647},225000,2016-06-24 00:00,LE10 1AJ,S,N,F,6,"",PRIESTHILLS ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{404A5AF4-6419-CD2B-E050-A8C063055C7B},450000,2016-10-03 00:00,LE11 3AY,O,N,F,7,"",ARTHUR STREET,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{404A5AF4-641C-CD2B-E050-A8C063055C7B},222950,2016-09-30 00:00,LE10 2AU,S,N,F,56,"",SAPCOTE ROAD,BURBAGE,HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,B,A
{39140479-DC6B-3206-E050-A8C063057647},136500,2016-07-01 00:00,LE13 0BH,T,N,F,62,"",DALBY ROAD,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
{39140479-DC6F-3206-E050-A8C063057647},130000,2016-06-16 00:00,LE9 8HR,S,N,F,52D,"",JERSEY WAY,BARWELL,LEICESTER,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,B,A
